run,sid,block,condition,m,N,k,delta,rotation,target_label,n_draws,mean_logodds,sd_logodds,b_pos,q_t,b_star,correct,denominator,s,abs_err_nats,is_flip,n_clipped
deepseek-high,B1-CORE|m2|N9|k0|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,0,3/10,1,THETA,3,-0.648637,1.123472,0.0,-1.946008,-3.649186,-1.946008,-1.946008,0.333317,1.297371,False,0
deepseek-high,B1-CORE|m2|N9|k2|rot0|FULL,B1-CORE,FULL,2,9,2,0,0,SIGMA,3,-2.030867,0.0,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,1.001248,0.003541,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,2,0,0,SIGMA,3,0.809486,0.0,0.81093,-2.027326,-2.027326,0.81093,-2.838256,0.000509,0.001444,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,2,0,0,SIGMA,3,-0.137298,1.639879,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.334088,1.890027,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,2,3/10,0,SIGMA,3,0.674812,0.233262,0.81093,-0.702632,-2.027326,-0.702632,-1.513562,0.089932,1.377444,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot1|FULL,B1-CORE,FULL,2,9,2,0,1,THETA,3,-2.030867,0.0,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,1.001248,0.003541,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,2,0,1,THETA,3,0.405465,0.0,0.81093,-2.027326,-2.027326,0.81093,-2.838256,0.142857,0.405465,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,2,0,1,THETA,3,0.905862,0.166927,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,-0.033447,2.933187,True,0
deepseek-high,B1-CORE|m2|N9|k2|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,2,3/10,1,THETA,3,-0.333955,0.640357,0.81093,-0.702632,-2.027326,-0.702632,-1.513562,0.756418,0.368676,True,0
deepseek-high,B1-CORE|m2|N9|k4|rot0|FULL,B1-CORE,FULL,2,9,4,0,0,SIGMA,3,-0.170913,0.406255,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.884305,0.234552,True,0
